name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean,grp
UBERON:0000007 gtex Pituitary polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000007,pituitary gland,tissue,adult,Pituitary,gtex,paired,False,0.04781800135970116,
UBERON:0000059 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000059,large intestine,tissue,embryonic,,encode,paired,False,0.14119458198547363,INTESTINE
UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000458,endocervix,tissue,adult,Cervix_Endocervix,gtex,paired,False,0.11742750555276871,
UBERON:0000473 gtex Testis polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,Testis,gtex,paired,False,0.03635135665535927,
UBERON:0000473 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000473,testis,tissue,embryonic,,encode,single,False,0.7033047676086426,
UBERON:0000945 gtex Stomach polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000945,stomach,tissue,adult,Stomach,gtex,paired,False,0.051221586763858795,
UBERON:0000945 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000945,stomach,tissue,embryonic,,encode,single,False,0.08617443591356277,
UBERON:0000948 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000948,heart,tissue,embryonic,,encode,single,False,0.46738457679748535,HEART
UBERON:0000992 gtex Ovary polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000992,ovary,tissue,adult,Ovary,gtex,paired,False,0.054519396275281906,
UBERON:0000992 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000992,ovary,tissue,embryonic,,encode,single,False,0.418280690908432,
UBERON:0000995 gtex Uterus polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000995,uterus,tissue,adult,Uterus,gtex,paired,False,0.059197694063186646,
UBERON:0000996 gtex Vagina polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0000996,vagina,tissue,adult,Vagina,gtex,paired,False,0.05682068690657616,
UBERON:0001114 gtex Liver polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001114,right lobe of liver,tissue,adult,Liver,gtex,paired,False,0.06319103389978409,LIVER
UBERON:0001150 gtex Pancreas polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001150,body of pancreas,tissue,adult,Pancreas,gtex,paired,False,0.0555739589035511,
UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001157,transverse colon,tissue,adult,Colon_Transverse,gtex,paired,False,0.049934789538383484,INTESTINE
UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001159,sigmoid colon,tissue,adult,Colon_Sigmoid,gtex,paired,False,0.0509834922850132,INTESTINE
UBERON:0001211 gtex Small_Intestine_Terminal_Ileum polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001211,Peyer's patch,tissue,adult,Small_Intestine_Terminal_Ileum,gtex,paired,False,0.05497457832098007,
UBERON:0001224 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001224,renal pelvis,tissue,embryonic,,encode,single,False,0.26900357007980347,
UBERON:0001225 gtex Kidney_Cortex polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001225,cortex of kidney,tissue,adult,Kidney_Cortex,gtex,paired,False,0.06602127104997635,BRAIN
UBERON:0001255 gtex Bladder polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001255,urinary bladder,tissue,adult,Bladder,gtex,paired,False,0.09805270284414291,
UBERON:0001293 gtex Kidney_Medulla polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001293,outer medulla of kidney,tissue,adult,Kidney_Medulla,gtex,paired,False,0.18485306203365326,
UBERON:0001323 gtex Nerve_Tibial polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001323,tibial nerve,tissue,adult,Nerve_Tibial,gtex,paired,False,0.044805847108364105,
UBERON:0001383 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001383,muscle of leg,tissue,embryonic,,encode,single,False,0.21778036653995514,MUSCLE
UBERON:0001496 gtex Artery_Aorta polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001496,ascending aorta,tissue,adult,Artery_Aorta,gtex,paired,False,0.05127594247460365,ARTERY
UBERON:0001499 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001499,muscle of arm,tissue,embryonic,,encode,paired,False,0.31494125723838806,
UBERON:0001621 gtex Artery_Coronary polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001621,coronary artery,tissue,adult,Artery_Coronary,gtex,paired,False,0.0551995113492012,ARTERY
UBERON:0001774 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001774,muscle of trunk,tissue,embryonic,,encode,paired,False,0.08671995252370834,MUSCLE
UBERON:0001870 gtex Brain_Cortex polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001870,frontal cortex,tissue,adult,Brain_Cortex,gtex,paired,False,0.043324146419763565,BRAIN
UBERON:0001873 gtex Brain_Caudate_basal_ganglia polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001873,caudate nucleus,tissue,adult,Brain_Caudate_basal_ganglia,gtex,paired,False,0.050032857805490494,BRAIN
UBERON:0001874 gtex Brain_Putamen_basal_ganglia polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001874,putamen,tissue,adult,Brain_Putamen_basal_ganglia,gtex,paired,False,0.05428667739033699,BRAIN
UBERON:0001876 gtex Brain_Amygdala polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001876,amygdala,tissue,adult,Brain_Amygdala,gtex,paired,False,0.05657550320029259,BRAIN
UBERON:0001882 gtex Brain_Nucleus_accumbens_basal_ganglia polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001882,nucleus accumbens,tissue,adult,Brain_Nucleus_accumbens_basal_ganglia,gtex,paired,False,0.0499090738594532,BRAIN
UBERON:0001898 gtex Brain_Hypothalamus polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001898,hypothalamus,tissue,adult,Brain_Hypothalamus,gtex,paired,False,0.05152333900332451,BRAIN
UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0001954,Ammon's horn,tissue,adult,Brain_Hippocampus,gtex,paired,False,0.049906063824892044,BRAIN
UBERON:0002037 gtex Brain_Cerebellum polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002037,cerebellum,tissue,adult,Brain_Cerebellum,gtex,paired,False,0.05265718325972557,BRAIN
UBERON:0002038 gtex Brain_Substantia_nigra polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002038,substantia nigra,tissue,adult,Brain_Substantia_nigra,gtex,paired,False,0.062162790447473526,BRAIN
UBERON:0002046 gtex Thyroid polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002046,thyroid gland,tissue,adult,Thyroid,gtex,paired,False,0.04541570320725441,
UBERON:0002106 gtex Spleen polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002106,spleen,tissue,adult,Spleen,gtex,paired,False,0.05477229878306389,IMMUNE
UBERON:0002106 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002106,spleen,tissue,embryonic,,encode,single,False,0.39663490653038025,IMMUNE
UBERON:0002107 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002107,liver,tissue,"child,adult",,encode,single,False,0.23851369321346283,LIVER
UBERON:0002108 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002108,small intestine,tissue,embryonic,,encode,paired,False,0.14074227213859558,INTESTINE
UBERON:0002113 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002113,kidney,tissue,embryonic,,encode,single,False,0.22629043459892273,
UBERON:0002167 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002167,right lung,tissue,embryonic,,encode,single,False,0.1865345537662506,
UBERON:0002168 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002168,left lung,tissue,embryonic,,encode,single,False,0.17341721057891846,
UBERON:0002190 gtex Adipose_Subcutaneous polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,Adipose_Subcutaneous,gtex,paired,False,0.04698016494512558,ADIPOSE
UBERON:0002240 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,0.303958535194397,BRAIN
UBERON:0002245 gtex Brain_Cerebellar_Hemisphere polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002245,cerebellar hemisphere,tissue,adult,Brain_Cerebellar_Hemisphere,gtex,paired,False,0.055197425186634064,BRAIN
UBERON:0002324 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002324,muscle of back,tissue,embryonic,,encode,single,False,0.2242487370967865,
UBERON:0002367 gtex Prostate polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002367,prostate gland,tissue,adult,Prostate,gtex,paired,False,0.05147687718272209,
UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002369,adrenal gland,tissue,adult,Adrenal_Gland,gtex,paired,False,0.05743984505534172,
UBERON:0002369 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002369,adrenal gland,tissue,embryonic,,encode,single,False,0.32479262351989746,
UBERON:0002370 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,0.17336340248584747,IMMUNE
UBERON:0003662 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0003662,forelimb muscle,tissue,embryonic,,encode,single,False,0.5638512969017029,
UBERON:0003663 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0003663,hindlimb muscle,tissue,embryonic,,encode,single,False,0.6374766826629639,
UBERON:0003889 gtex Fallopian_Tube polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0003889,fallopian tube,tissue,adult,Fallopian_Tube,gtex,paired,False,0.12156927585601807,
UBERON:0004264 gtex Skin_Sun_Exposed_Lower_leg polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0004264,lower leg skin,tissue,adult,Skin_Sun_Exposed_Lower_leg,gtex,paired,False,0.044400908052921295,SKIN
UBERON:0004538 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0004538,left kidney,tissue,embryonic,,encode,single,False,0.3590563237667084,
UBERON:0004550 gtex Esophagus_Gastroesophageal_Junction polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,Esophagus_Gastroesophageal_Junction,gtex,paired,False,0.05182637274265289,
UBERON:0004648 gtex Esophagus_Muscularis polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,Esophagus_Muscularis,gtex,paired,False,0.05034983530640602,
UBERON:0005270 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0005270,renal cortex interstitium,tissue,embryonic,,encode,single,False,0.273677796125412,BRAIN
UBERON:0006330 gtex Minor_Salivary_Gland polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0006330,anterior lingual gland,tissue,adult,Minor_Salivary_Gland,gtex,paired,False,0.05584359169006348,
UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0006469,C1 segment of cervical spinal cord,tissue,adult,Brain_Spinal_cord_cervical_c-1,gtex,paired,False,0.06018725037574768,BRAIN
UBERON:0006566 gtex Heart_Left_Ventricle polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0006566,left ventricle myocardium,tissue,adult,Heart_Left_Ventricle,gtex,paired,False,0.05494289472699165,HEART
UBERON:0006631 gtex Heart_Atrial_Appendage polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0006631,right atrium auricular region,tissue,adult,Heart_Atrial_Appendage,gtex,paired,False,0.04985639825463295,HEART
UBERON:0006920 gtex Esophagus_Mucosa polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0006920,esophagus squamous epithelium,tissue,adult,Esophagus_Mucosa,gtex,paired,False,0.05086713656783104,
UBERON:0007610 gtex Artery_Tibial polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0007610,tibial artery,tissue,adult,Artery_Tibial,gtex,paired,False,0.04839674010872841,ARTERY
UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0008367,breast epithelium,tissue,adult,Breast_Mammary_Tissue,gtex,paired,False,0.04591913893818855,
UBERON:0008952 gtex Lung polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0008952,upper lobe of left lung,tissue,adult,Lung,gtex,paired,False,0.04629707708954811,LUNG
UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,Brain_Frontal_Cortex_BA9,gtex,paired,False,0.05219842493534088,BRAIN
UBERON:0009835 gtex Brain_Anterior_cingulate_cortex_BA24 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0009835,anterior cingulate cortex,tissue,adult,Brain_Anterior_cingulate_cortex_BA24,gtex,paired,False,0.05334325134754181,BRAIN
UBERON:0010414 gtex Adipose_Visceral_Omentum polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0010414,omental fat pad,tissue,adult,Adipose_Visceral_Omentum,gtex,paired,False,0.048737503588199615,ADIPOSE
UBERON:0011907 gtex Muscle_Skeletal polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0011907,gastrocnemius medialis,tissue,adult,Muscle_Skeletal,gtex,paired,False,0.046867091208696365,MUSCLE
UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0012249,ectocervix,tissue,adult,Cervix_Ectocervix,gtex,paired,False,0.11553216725587845,
UBERON:0013756 gtex Whole_Blood polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0013756,venous blood,tissue,adult,Whole_Blood,gtex,paired,False,0.05588344484567642,IMMUNE
UBERON:0018115 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0018115,left renal pelvis,tissue,embryonic,,encode,single,False,0.2682223618030548,
UBERON:0018116 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0018116,right renal pelvis,tissue,embryonic,,encode,single,False,0.25852155685424805,
UBERON:0018117 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0018117,left renal cortex interstitium,tissue,embryonic,,encode,single,False,0.21519021689891815,BRAIN
UBERON:0018118 polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0018118,right renal cortex interstitium,tissue,embryonic,,encode,single,False,0.3656761348247528,BRAIN
UBERON:0036149 gtex Skin_Not_Sun_Exposed_Suprapubic polyA plus RNA-seq,.,polyA plus RNA-seq,UBERON:0036149,suprapubic skin,tissue,adult,Skin_Not_Sun_Exposed_Suprapubic,gtex,paired,False,0.04540431126952171,SKIN
