name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0001042 DNase-seq,.,DNase-seq,CL:0001042,T-helper 22 cell,primary_cell,adult,encode,paired,False,4.007289886474609,
CL:0001044 DNase-seq,.,DNase-seq,CL:0001044,"effector CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.9604204893112183,IMMUNE
CL:0001054 DNase-seq,.,DNase-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,encode,paired,False,0.3832496404647827,IMMUNE
CL:0001059 DNase-seq,.,DNase-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,encode,paired,False,0.8163495063781738,
CL:0002038 DNase-seq,.,DNase-seq,CL:0002038,T follicular helper cell,primary_cell,adult,encode,paired,False,4.746370315551758,
CL:0002061 DNase-seq,.,DNase-seq,CL:0002061,T-helper 9 cell,primary_cell,adult,encode,paired,False,2.6681625843048096,
CL:0002231 DNase-seq,.,DNase-seq,CL:0002231,epithelial cell of prostate,primary_cell,unknown,encode,single,False,1.79982590675354,
CL:0002252 DNase-seq,.,DNase-seq,CL:0002252,epithelial cell of esophagus,primary_cell,unknown,encode,single,False,0.6855566501617432,
CL:0002304 DNase-seq,.,DNase-seq,CL:0002304,non-pigmented ciliary epithelial cell,primary_cell,unknown,encode,single,False,3.0522754192352295,
CL:0002306 DNase-seq,.,DNase-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,encode,single,False,2.5602056980133057,
CL:0002327 DNase-seq,.,DNase-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,encode,paired,False,0.6776365637779236,
CL:0002328 DNase-seq,.,DNase-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,encode,single,False,0.7579159140586853,LUNG
CL:0002351 DNase-seq,.,DNase-seq,CL:0002351,progenitor cell of endocrine pancreas,in_vitro_differentiated_cells,embryonic,encode,paired,False,1.0526008605957031,ISLET
CL:0002372 DNase-seq,.,DNase-seq,CL:0002372,myotube,in_vitro_differentiated_cells,unknown,encode,single,False,2.400099754333496,MUSCLE
CL:0002518 DNase-seq,.,DNase-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,encode,single,False,2.745112657546997,
CL:0002536 DNase-seq,.,DNase-seq,CL:0002536,amniotic epithelial cell,primary_cell,unknown,encode,single,False,0.9171459078788757,
CL:0002547 DNase-seq,.,DNase-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,unknown,encode,single,False,0.6756204962730408,
CL:0002548 DNase-seq,.,DNase-seq,CL:0002548,cardiac fibroblast,primary_cell,adult,encode,paired,False,0.6222532987594604,HEART
CL:0002550 DNase-seq,.,DNase-seq,CL:0002550,fibroblast of the conjunctiva,primary_cell,unknown,encode,single,False,2.0065205097198486,
CL:0002551 DNase-seq,.,DNase-seq,CL:0002551,fibroblast of dermis,primary_cell,adult,encode,single,False,1.079167366027832,SKIN
CL:0002552 DNase-seq,.,DNase-seq,CL:0002552,fibroblast of gingiva,primary_cell,unknown,encode,paired,False,0.5092926621437073,
CL:0002553 DNase-seq,.,DNase-seq,CL:0002553,fibroblast of lung,primary_cell,adult,encode,single,False,0.7885729074478149,
CL:0002555 DNase-seq,.,DNase-seq,CL:0002555,fibroblast of mammary gland,primary_cell,unknown,encode,single,False,0.8995188474655151,
CL:0002557 DNase-seq,.,DNase-seq,CL:0002557,fibroblast of pulmonary artery,primary_cell,unknown,encode,single,False,0.9265996813774109,ARTERY
CL:0002558 DNase-seq,.,DNase-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,unknown,encode,single,False,0.7923138737678528,
CL:0002565 DNase-seq,.,DNase-seq,CL:0002565,iris pigment epithelial cell,primary_cell,unknown,encode,single,False,0.7827289700508118,
CL:0002584 DNase-seq,.,DNase-seq,CL:0002584,renal cortical epithelial cell,primary_cell,unknown,encode,single,False,0.8318119049072266,
CL:0002586 DNase-seq,.,DNase-seq,CL:0002586,retinal pigment epithelial cell,primary_cell,unknown,encode,single,False,2.909048318862915,
CL:0002590 DNase-seq,.,DNase-seq,CL:0002590,smooth muscle cell of the brain vasculature,primary_cell,unknown,encode,single,False,2.438349962234497,ARTERY
CL:0002603 DNase-seq,.,DNase-seq,CL:0002603,astrocyte of the cerebellum,primary_cell,unknown,encode,single,False,1.9216886758804321,BRAIN
CL:0002604 DNase-seq,.,DNase-seq,CL:0002604,astrocyte of the hippocampus,primary_cell,unknown,encode,single,False,0.5650158524513245,BRAIN
CL:0002606 DNase-seq,.,DNase-seq,CL:0002606,astrocyte of the spinal cord,primary_cell,unknown,encode,single,False,0.8070069551467896,BRAIN
CL:0002618 DNase-seq,.,DNase-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,encode,single,False,0.37584367394447327,ARTERY
CL:0010001 DNase-seq,.,DNase-seq,CL:0010001,stromal cell of bone marrow,primary_cell,unknown,encode,single,False,2.691941738128662,
CL:0011012 DNase-seq,.,DNase-seq,CL:0011012,neural crest cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.8980225324630737,IMMUNE
CL:0011019 DNase-seq,.,DNase-seq,CL:0011019,mesothelial cell of epicardium,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.6035394072532654,
CL:0011020 DNase-seq,.,DNase-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.4942465126514435,
CL:0011021 DNase-seq,.,DNase-seq,CL:0011021,fibroblast of upper back skin,primary_cell,embryonic,encode,paired,False,0.9696041941642761,
CL:0011022 DNase-seq,.,DNase-seq,CL:0011022,fibroblast of skin of back,primary_cell,embryonic,encode,paired,False,0.8348377346992493,
CL:1000507 DNase-seq,.,DNase-seq,CL:1000507,kidney tubule cell,primary_cell,adult,encode,paired,False,0.5207222700119019,
CL:1000892 DNase-seq,.,DNase-seq,CL:1000892,kidney capillary endothelial cell,primary_cell,embryonic,encode,paired,False,0.8645994663238525,
CL:1001568 DNase-seq,.,DNase-seq,CL:1001568,pulmonary artery endothelial cell,primary_cell,unknown,encode,single,False,3.48999285697937,ARTERY
CL:1001606 DNase-seq,.,DNase-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,False,0.8092641830444336,SKIN
CL:1001608 DNase-seq,.,DNase-seq,CL:1001608,foreskin fibroblast,primary_cell,newborn,encode,single,False,0.6006089448928833,SKIN
CL:2000000 DNase-seq,.,DNase-seq,CL:2000000,epidermal melanocyte,primary_cell,unknown,encode,single,False,2.429208517074585,SKIN
CL:2000010 DNase-seq,.,DNase-seq,CL:2000010,dermis blood vessel endothelial cell,primary_cell,newborn,encode,single,False,0.6149095892906189,
CL:2000013 DNase-seq,.,DNase-seq,CL:2000013,fibroblast of skin of abdomen,primary_cell,embryonic,encode,paired,False,0.7902196049690247,
CL:2000016 DNase-seq,.,DNase-seq,CL:2000016,lung microvascular endothelial cell,primary_cell,unknown,encode,paired,False,0.5494294166564941,ARTERY
CL:2000017 DNase-seq,.,DNase-seq,CL:2000017,fibroblast of peridontal ligament,primary_cell,unknown,encode,single,False,0.766350269317627,
CL:2000041 DNase-seq,.,DNase-seq,CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,unknown,encode,single,False,0.5694506764411926,ARTERY
CL:2000043 DNase-seq,.,DNase-seq,CL:2000043,brain pericyte,primary_cell,unknown,encode,single,False,3.447007656097412,BRAIN
CL:2000044 DNase-seq,.,DNase-seq,CL:2000044,brain microvascular endothelial cell,primary_cell,unknown,encode,paired,False,0.8649314045906067,ARTERY
CL:2000045 DNase-seq,.,DNase-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,encode,single,False,1.6665078401565552,SKIN
CLO:0003771 DNase-seq,.,DNase-seq,CLO:0003771,HK-2,cell_line,unknown,encode,paired,False,1.9446057081222534,
CLO:0007045 DNase-seq,.,DNase-seq,CLO:0007045,"Jurkat, Clone E6-1",cell_line,child,encode,single,False,1.5674571990966797,
CLO:0011092 DNase-seq,.,DNase-seq,CLO:0011092,AG20443,cell_line,adult,encode,single,False,0.489742636680603,
CLO:0016536 DNase-seq,.,DNase-seq,CLO:0016536,GM03348,cell_line,child,encode,single,False,0.6024907827377319,
CLO:0018812 DNase-seq,.,DNase-seq,CLO:0018812,GM04504,cell_line,adult,encode,single,False,2.7088184356689453,
CLO:0018813 DNase-seq,.,DNase-seq,CLO:0018813,GM04503,cell_line,adult,encode,single,False,2.5049474239349365,
CLO:0021511 DNase-seq,.,DNase-seq,CLO:0021511,AG10803,cell_line,adult,encode,single,False,1.0066683292388916,
CLO:0021752 DNase-seq,.,DNase-seq,CLO:0021752,AG09309,cell_line,adult,encode,single,False,2.8119919300079346,
CLO:0021754 DNase-seq,.,DNase-seq,CLO:0021754,AG09319,cell_line,adult,encode,single,False,3.7290589809417725,
CLO:0033902 DNase-seq,.,DNase-seq,CLO:0033902,AG08396,cell_line,adult,encode,single,False,0.7557680010795593,
CLO:0033911 DNase-seq,.,DNase-seq,CLO:0033911,AG08395,cell_line,adult,encode,single,False,0.5651062726974487,
CLO:0034837 DNase-seq,.,DNase-seq,CLO:0034837,AG04449,cell_line,embryonic,encode,single,False,2.6723761558532715,
EFO:0000681 DNase-seq,.,DNase-seq,EFO:0000681,RCC,cell_line,adult,encode,paired,False,0.404991090297699,
EFO:0001086 DNase-seq,.,DNase-seq,EFO:0001086,A549,cell_line,unknown,encode,single,False,1.3698084354400635,LUNG
EFO:0001099 DNase-seq,.,DNase-seq,EFO:0001099,Caco-2,cell_line,adult,encode,paired,False,0.35403701663017273,INTESTINE
EFO:0001187 DNase-seq,.,DNase-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,False,0.5917545557022095,LIVER
EFO:0001193 DNase-seq,.,DNase-seq,EFO:0001193,HT-29,cell_line,adult,encode,paired,False,0.31434935331344604,INTESTINE
EFO:0001196 DNase-seq,.,DNase-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,single,False,0.5586584210395813,
EFO:0001200 DNase-seq,.,DNase-seq,EFO:0001200,MCF 10A,cell_line,adult,encode,paired,False,0.6995792388916016,
EFO:0001203 DNase-seq,.,DNase-seq,EFO:0001203,MCF-7,cell_line,adult,encode,single,False,1.527384877204895,
EFO:0001221 DNase-seq,.,DNase-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,False,0.6527357697486877,
EFO:0001232 DNase-seq,.,DNase-seq,EFO:0001232,RKO,cell_line,unknown,encode,paired,False,0.39124998450279236,
EFO:0001247 DNase-seq,.,DNase-seq,EFO:0001247,T47D,cell_line,adult,encode,paired,False,0.7594418525695801,
EFO:0002059 DNase-seq,.,DNase-seq,EFO:0002059,HT1080,cell_line,adult,encode,paired,False,0.5158950686454773,
EFO:0002067 DNase-seq,.,DNase-seq,EFO:0002067,K562,cell_line,adult,encode,paired,False,0.7512144446372986,
EFO:0002074 DNase-seq,.,DNase-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,False,0.33056098222732544,
EFO:0002083 DNase-seq,.,DNase-seq,EFO:0002083,SW480,cell_line,adult,encode,paired,False,0.5017459988594055,
EFO:0002101 DNase-seq,.,DNase-seq,EFO:0002101,A172,cell_line,adult,encode,paired,False,0.6259351372718811,
EFO:0002106 DNase-seq,.,DNase-seq,EFO:0002106,A673,cell_line,child,encode,paired,False,0.4033849537372589,
EFO:0002108 DNase-seq,.,DNase-seq,EFO:0002108,ACHN,cell_line,adult,encode,paired,False,0.39731329679489136,
EFO:0002140 DNase-seq,.,DNase-seq,EFO:0002140,COLO829,cell_line,adult,encode,single,False,1.0428472757339478,
EFO:0002150 DNase-seq,.,DNase-seq,EFO:0002150,Caki2,cell_line,adult,encode,paired,False,0.8169956803321838,
EFO:0002179 DNase-seq,.,DNase-seq,EFO:0002179,G401,cell_line,child,encode,paired,False,0.3348170220851898,
EFO:0002184 DNase-seq,.,DNase-seq,EFO:0002184,H4,cell_line,adult,encode,paired,False,0.2589706480503082,
EFO:0002234 DNase-seq,.,DNase-seq,EFO:0002234,MG63,cell_line,child,encode,paired,False,1.3897887468338013,
EFO:0002246 DNase-seq,.,DNase-seq,EFO:0002246,NAMALWA,cell_line,child,encode,paired,False,0.24920177459716797,
EFO:0002285 DNase-seq,.,DNase-seq,EFO:0002285,NCI-H226,cell_line,adult,encode,paired,False,0.6913072466850281,
EFO:0002322 DNase-seq,.,DNase-seq,EFO:0002322,RPMI8226,cell_line,adult,encode,paired,False,0.46553540229797363,
EFO:0002323 DNase-seq,.,DNase-seq,EFO:0002323,RWPE1,cell_line,adult,encode,single,False,1.0728051662445068,
EFO:0002330 DNase-seq,.,DNase-seq,EFO:0002330,SJSA1,cell_line,adult,encode,paired,False,0.2602348327636719,
EFO:0002713 DNase-seq,.,DNase-seq,EFO:0002713,Panc1,cell_line,adult,encode,single,False,2.7078969478607178,
EFO:0002779 DNase-seq,.,DNase-seq,EFO:0002779,BJ,cell_line,newborn,encode,single,False,3.066230535507202,
EFO:0002783 DNase-seq,.,DNase-seq,EFO:0002783,GM06990,cell_line,unknown,encode,single,False,1.4070837497711182,
EFO:0002784 DNase-seq,.,DNase-seq,EFO:0002784,GM12878,cell_line,adult,encode,single,False,1.973615050315857,IMMUNE
EFO:0002785 DNase-seq,.,DNase-seq,EFO:0002785,GM12891,cell_line,unknown,encode,single,False,2.2426021099090576,
EFO:0002788 DNase-seq,.,DNase-seq,EFO:0002788,GM19238,cell_line,unknown,encode,single,False,2.614777088165283,
EFO:0002789 DNase-seq,.,DNase-seq,EFO:0002789,GM19239,cell_line,unknown,encode,single,False,2.127342700958252,
EFO:0002790 DNase-seq,.,DNase-seq,EFO:0002790,GM19240,cell_line,unknown,encode,single,False,3.142216920852661,
EFO:0002791 DNase-seq,.,DNase-seq,EFO:0002791,HeLa-S3,cell_line,adult,encode,paired,False,0.6147698163986206,
EFO:0002793 DNase-seq,.,DNase-seq,EFO:0002793,HL-60,cell_line,adult,encode,paired,False,0.4432883858680725,
EFO:0002798 DNase-seq,.,DNase-seq,EFO:0002798,NB4,cell_line,adult,encode,single,False,0.5139434337615967,
EFO:0002819 DNase-seq,.,DNase-seq,EFO:0002819,Calu3,cell_line,adult,encode,paired,False,0.8454360961914062,
EFO:0002824 DNase-seq,.,DNase-seq,EFO:0002824,HCT116,cell_line,adult,encode,single,False,2.3007709980010986,
EFO:0002847 DNase-seq,.,DNase-seq,EFO:0002847,PC-9,cell_line,unknown,encode,paired,False,1.1961363554000854,
EFO:0002860 DNase-seq,.,DNase-seq,EFO:0002860,SK-N-MC,cell_line,child,encode,single,False,2.3146300315856934,
EFO:0003037 DNase-seq,.,DNase-seq,EFO:0003037,CMK,cell_line,child,encode,single,False,5.96456241607666,
EFO:0003042 DNase-seq,.,DNase-seq,EFO:0003042,H1,cell_line,embryonic,encode,paired,False,0.35558420419692993,
EFO:0003044 DNase-seq,.,DNase-seq,EFO:0003044,NCI-H460,cell_line,unknown,encode,paired,False,2.7118191719055176,
EFO:0003045 DNase-seq,.,DNase-seq,EFO:0003045,H9,cell_line,embryonic,encode,paired,False,0.36124664545059204,
EFO:0003072 DNase-seq,.,DNase-seq,EFO:0003072,SK-N-SH,cell_line,child,encode,single,False,0.697295069694519,
EFO:0005236 DNase-seq,.,DNase-seq,EFO:0005236,NT2/D1,cell_line,unknown,encode,single,False,2.16270112991333,
EFO:0005282 DNase-seq,.,DNase-seq,EFO:0005282,HS-5,cell_line,adult,encode,single,False,3.068507671356201,
EFO:0005283 DNase-seq,.,DNase-seq,EFO:0005283,HS-27A,cell_line,adult,encode,single,False,3.3722217082977295,
EFO:0005337 DNase-seq,.,DNase-seq,EFO:0005337,GM12864,cell_line,unknown,encode,single,False,5.519004821777344,
EFO:0005338 DNase-seq,.,DNase-seq,EFO:0005338,GM12865,cell_line,unknown,encode,single,False,0.7618824243545532,
EFO:0005345 DNase-seq,.,DNase-seq,EFO:0005345,GM13976,cell_line,unknown,encode,single,False,0.5067197680473328,
EFO:0005352 DNase-seq,.,DNase-seq,EFO:0005352,GM20000,cell_line,child,encode,single,False,0.5614458322525024,
EFO:0005384 DNase-seq,.,DNase-seq,EFO:0005384,HuH-7,cell_line,adult,encode,single,False,1.326578140258789,
EFO:0005696 DNase-seq,.,DNase-seq,EFO:0005696,D721Med,cell_line,child,encode,single,False,3.3585827350616455,
EFO:0005697 DNase-seq,.,DNase-seq,EFO:0005697,M059J,cell_line,adult,encode,paired,False,0.679729163646698,
EFO:0005698 DNase-seq,.,DNase-seq,EFO:0005698,Daoy,cell_line,child,encode,paired,False,0.663628876209259,
EFO:0005704 DNase-seq,.,DNase-seq,EFO:0005704,HuH-7.5,cell_line,adult,encode,single,False,1.8704612255096436,
EFO:0005707 DNase-seq,.,DNase-seq,EFO:0005707,RCC 7860,cell_line,adult,encode,paired,False,0.38709786534309387,
EFO:0005709 DNase-seq,.,DNase-seq,EFO:0005709,HTR-8/SVneo,cell_line,embryonic,encode,single,False,1.2438695430755615,
EFO:0005710 DNase-seq,.,DNase-seq,EFO:0005710,HFF-Myc,cell_line,newborn,encode,single,False,2.5209357738494873,
EFO:0005712 DNase-seq,.,DNase-seq,EFO:0005712,RPMI7951,cell_line,adult,encode,paired,False,0.750880241394043,
EFO:0005714 DNase-seq,.,DNase-seq,EFO:0005714,LHCN-M2,cell_line,adult,encode,paired,False,1.0306603908538818,
EFO:0005715 DNase-seq,.,DNase-seq,EFO:0005715,WERI-Rb-1,cell_line,child,encode,paired,False,0.5877436399459839,
EFO:0005719 DNase-seq,.,DNase-seq,EFO:0005719,Karpas-422,cell_line,adult,encode,paired,False,0.7704964280128479,
EFO:0005720 DNase-seq,.,DNase-seq,EFO:0005720,SK-MEL-5,cell_line,adult,encode,paired,False,0.6427146196365356,
EFO:0005721 DNase-seq,.,DNase-seq,EFO:0005721,SK-N-DZ,cell_line,child,encode,paired,False,0.2404664009809494,
EFO:0005722 DNase-seq,.,DNase-seq,EFO:0005722,SJCRH30,cell_line,child,encode,paired,False,0.2745540738105774,
EFO:0005723 DNase-seq,.,DNase-seq,EFO:0005723,GM23248,cell_line,adult,encode,paired,False,0.6127015352249146,
EFO:0005724 DNase-seq,.,DNase-seq,EFO:0005724,MM.1S,cell_line,adult,encode,paired,False,1.686448097229004,
EFO:0005725 DNase-seq,.,DNase-seq,EFO:0005725,BE2C,cell_line,child,encode,paired,False,0.5945417881011963,
EFO:0005726 DNase-seq,.,DNase-seq,EFO:0005726,LNCaP clone FGC,cell_line,adult,encode,single,False,2.3022053241729736,
EFO:0005901 DNase-seq,.,DNase-seq,EFO:0005901,ELF-1,cell_line,embryonic,encode,paired,False,0.70262211561203,
EFO:0005903 DNase-seq,.,DNase-seq,EFO:0005903,KBM-7,cell_line,adult,encode,paired,False,0.6494789123535156,
EFO:0005904 DNase-seq,.,DNase-seq,EFO:0005904,H7,cell_line,embryonic,encode,single,False,0.720466136932373,
EFO:0005913 DNase-seq,.,DNase-seq,EFO:0005913,urothelium cell line,cell_line,child,encode,single,False,0.7121906280517578,
EFO:0006270 DNase-seq,.,DNase-seq,EFO:0006270,AG04450,cell_line,embryonic,encode,single,False,2.4997332096099854,
EFO:0006639 DNase-seq,.,DNase-seq,EFO:0006639,LoVo,cell_line,adult,encode,paired,False,0.41923755407333374,
EFO:0006711 DNase-seq,.,DNase-seq,EFO:0006711,OCI-LY7,cell_line,adult,encode,paired,False,0.3808844983577728,
EFO:0007074 DNase-seq,.,DNase-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,False,0.6119149923324585,
EFO:0007098 DNase-seq,.,DNase-seq,EFO:0007098,iPS DF 6.9,cell_line,newborn,encode,single,False,4.789461135864258,
EFO:0007598 DNase-seq,.,DNase-seq,EFO:0007598,HAP-1,cell_line,adult,encode,paired,False,0.2808516025543213,
EFO:0007599 DNase-seq,.,DNase-seq,EFO:0007599,L1-S8,cell_line,unknown,encode,paired,False,0.49668434262275696,
EFO:0007600 DNase-seq,.,DNase-seq,EFO:0007600,L1-S8R,cell_line,unknown,encode,paired,False,0.21592050790786743,
EFO:0007610 DNase-seq,.,DNase-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,False,0.47734326124191284,
EFO:0007748 DNase-seq,.,DNase-seq,EFO:0007748,EH,cell_line,newborn,encode,paired,False,0.6068446040153503,
EFO:0007749 DNase-seq,.,DNase-seq,EFO:0007749,EL,cell_line,newborn,encode,paired,False,0.6062823534011841,
EFO:0007750 DNase-seq,.,DNase-seq,EFO:0007750,ELR,cell_line,newborn,encode,paired,False,0.6943896412849426,
EFO:0007950 DNase-seq,.,DNase-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,False,0.40125343203544617,
EFO:0007952 DNase-seq,.,DNase-seq,EFO:0007952,iPS-NIHi11,cell_line,adult,encode,single,False,0.6423331499099731,
