name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean,grp
hCAGE UBERON:0000988,+,hCAGE,UBERON:0000988,pons,tissue,fantom,28.069860458374023,
hCAGE UBERON:0000989,+,hCAGE,UBERON:0000989,penis,tissue,fantom,55.62895965576172,
hCAGE UBERON:0000992,+,hCAGE,UBERON:0000992,female gonad,tissue,fantom,46.649906158447266,
hCAGE UBERON:0000995,+,hCAGE,UBERON:0000995,uterus,tissue,fantom,59.67921447753906,
hCAGE UBERON:0000996,+,hCAGE,UBERON:0000996,vagina,tissue,fantom,192.70404052734375,
hCAGE UBERON:0000998,+,hCAGE,UBERON:0000998,seminal vesicle,tissue,fantom,43.64366149902344,
hCAGE UBERON:0001000,+,hCAGE,UBERON:0001000,vas deferens,tissue,fantom,68.61293029785156,
hCAGE UBERON:0001013,+,hCAGE,UBERON:0001013,adipose tissue,tissue,fantom,21.103422164916992,ADIPOSE
hCAGE UBERON:0001043,+,hCAGE,UBERON:0001043,esophagus,tissue,fantom,51.76528549194336,
hCAGE UBERON:0001044,+,hCAGE,UBERON:0001044,saliva-secreting gland,tissue,fantom,148.62879943847656,
hCAGE UBERON:0001052,+,hCAGE,UBERON:0001052,rectum,tissue,fantom,130.85585021972656,
hCAGE UBERON:0001103,+,hCAGE,UBERON:0001103,diaphragm,tissue,fantom,117.9341049194336,
hCAGE UBERON:0001134,+,hCAGE,UBERON:0001134,skeletal muscle tissue,tissue,fantom,50.37820816040039,MUSCLE
hCAGE UBERON:0001135,+,hCAGE,UBERON:0001135,smooth muscle tissue,tissue,fantom,28.285898208618164,
hCAGE UBERON:0001154,+,hCAGE,UBERON:0001154,vermiform appendix,tissue,fantom,80.126708984375,
hCAGE UBERON:0001155,+,hCAGE,UBERON:0001155,colon,tissue,fantom,35.34465789794922,INTESTINE
hCAGE UBERON:0001255,+,hCAGE,UBERON:0001255,urinary bladder,tissue,fantom,48.4241943359375,
hCAGE UBERON:0001264,+,hCAGE,UBERON:0001264,pancreas,tissue,fantom,188.36380004882812,
hCAGE UBERON:0001301,+,hCAGE,UBERON:0001301,epididymis,tissue,fantom,41.035892486572266,
hCAGE UBERON:0001359,+,hCAGE,UBERON:0001359,cerebrospinal fluid,tissue,fantom,66.41242980957031,
hCAGE UBERON:0001389,+,hCAGE,UBERON:0001389,soleus muscle,tissue,fantom,52.885318756103516,
