name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,histone_mark,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0000625 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K27ac,encode,single,False,1.040993332862854,IMMUNE
CL:0000625 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K27me3,encode,single,False,1.77400541305542,IMMUNE
CL:0000625 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K36me3,encode,single,False,0.937209963798523,IMMUNE
CL:0000625 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K4me1,encode,single,False,1.0011892318725586,IMMUNE
CL:0000625 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K4me3,encode,single,False,1.409015417098999,IMMUNE
CL:0000625 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K9ac,encode,single,False,1.7480512857437134,IMMUNE
CL:0000625 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,H3K9me3,encode,single,False,1.0857267379760742,IMMUNE
CL:0000706 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000706,choroid plexus epithelial cell,primary_cell,unknown,H3K4me3,encode,single,False,2.0453009605407715,
CL:0000746 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,H3K27ac,encode,single,False,0.7914988994598389,HEART
CL:0000746 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,H3K27me3,encode,single,False,0.8161104917526245,HEART
CL:0000746 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,H3K36me3,encode,single,False,0.8119232654571533,HEART
CL:0000746 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,H3K4me1,encode,single,False,0.793128252029419,HEART
CL:0000746 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,primary_cell,unknown,H3K4me3,encode,single,False,3.5106585025787354,HEART
CL:0000775 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K27ac,encode,single,False,0.8244473338127136,IMMUNE
CL:0000775 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K27me3,encode,single,False,0.8658792972564697,IMMUNE
CL:0000775 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K36me3,encode,single,False,0.8393487930297852,IMMUNE
CL:0000775 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K4me1,encode,single,False,0.837249755859375,IMMUNE
CL:0000775 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K4me3,encode,single,False,0.8037970662117004,IMMUNE
CL:0000775 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,H3K9me3,encode,single,False,1.2437853813171387,IMMUNE
CL:0000792 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K27ac,encode,single,False,3.7528088092803955,IMMUNE
CL:0000792 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K27me3,encode,single,False,1.3723632097244263,IMMUNE
CL:0000792 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K36me3,encode,single,False,0.9902058839797974,IMMUNE
CL:0000792 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K4me1,encode,single,False,1.428789496421814,IMMUNE
CL:0000792 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K4me3,encode,single,False,2.1308674812316895,IMMUNE
CL:0000792 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,H3K9me3,encode,single,False,0.8295873999595642,IMMUNE
CL:0000842 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,H3K27me3,encode,single,False,0.8204377293586731,
CL:0000842 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,H3K4me1,encode,single,False,0.9629728198051453,
CL:0000842 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,H3K4me3,encode,single,False,0.8454005718231201,
CL:0000895 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K27ac,encode,single,False,1.5007438659667969,IMMUNE
CL:0000895 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K36me3,encode,single,False,0.7769186496734619,IMMUNE
CL:0000895 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K4me1,encode,single,False,0.7501938343048096,IMMUNE
CL:0000895 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K4me3,encode,single,False,0.7959851026535034,IMMUNE
CL:0000897 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,H3K27ac,encode,single,False,1.265649437904358,IMMUNE
CL:0000897 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,H3K36me3,encode,single,False,0.8145694732666016,IMMUNE
CL:0000897 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,H3K4me1,encode,single,False,0.8242737054824829,IMMUNE
CL:0000897 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,H3K4me3,encode,single,False,0.7992186546325684,IMMUNE
CL:0000905 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K27ac,encode,single,False,1.443172574043274,IMMUNE
CL:0000905 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K36me3,encode,single,False,0.9221175909042358,IMMUNE
CL:0000905 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,H3K4me3,encode,single,False,1.0698696374893188,IMMUNE
CL:0000909 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,H3K27ac,encode,single,False,1.3422130346298218,IMMUNE
CL:0000909 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,H3K36me3,encode,single,False,0.8160771131515503,IMMUNE
CL:0000909 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,H3K4me1,encode,single,False,0.8387834429740906,IMMUNE
CL:0000909 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,H3K4me3,encode,single,False,0.7764924168586731,IMMUNE
CL:0001054 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,H2AFZ,encode,single,False,1.2726267576217651,IMMUNE
CL:0001054 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K27ac,encode,single,False,1.366492509841919,IMMUNE
CL:0001054 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K27me3,encode,single,False,1.2522672414779663,IMMUNE
CL:0001054 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K36me3,encode,single,False,1.881212830543518,IMMUNE
CL:0001054 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K4me1,encode,single,False,1.5222563743591309,IMMUNE
CL:0001054 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,H3K4me2,encode,single,False,2.0045270919799805,IMMUNE
CL:0001054 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K4me3,encode,single,False,1.1920089721679688,IMMUNE
CL:0001054 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,H3K79me2,encode,single,False,1.653550148010254,IMMUNE
CL:0001054 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,H3K9ac,encode,single,False,1.2866066694259644,IMMUNE
CL:0001054 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,H3K9me3,encode,single,False,1.3481738567352295,IMMUNE
CL:0001054 Histone ChIP-seq H4K20me1,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,H4K20me1,encode,single,False,1.5084744691848755,IMMUNE
CL:0001059 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K27ac,encode,single,False,1.7290501594543457,
CL:0001059 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K27me3,encode,single,False,0.9181594252586365,
CL:0001059 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K36me3,encode,single,False,0.9064100980758667,
CL:0001059 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K4me1,encode,single,False,1.0432772636413574,
CL:0001059 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K4me3,encode,single,False,1.0541969537734985,
CL:0001059 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,H3K9me3,encode,single,False,1.2970075607299805,
CL:0002231 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002231,epithelial cell of prostate,primary_cell,unknown,H3K27ac,encode,paired,False,0.852828860282898,
CL:0002252 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002252,epithelial cell of esophagus,primary_cell,unknown,H3K4me3,encode,single,False,1.167810320854187,
CL:0002306 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,H3K4me3,encode,single,False,1.7776589393615723,
CL:0002319 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,H3K27ac,encode,single,False,0.8542282581329346,
CL:0002319 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,H3K4me3,encode,single,False,0.8454180955886841,
CL:0002319 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,H3K79me2,encode,single,False,0.8458381295204163,
CL:0002319 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,H3K9ac,encode,single,False,0.8596713542938232,
CL:0002324 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K27me3,encode,single,False,1.2481344938278198,
CL:0002324 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K36me3,encode,single,False,1.3310545682907104,
CL:0002324 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K4me1,encode,single,False,1.1346843242645264,
CL:0002324 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K4me3,encode,single,False,1.9428181648254395,
CL:0002324 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K9ac,encode,single,False,1.8589320182800293,
CL:0002324 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,H3K9me3,encode,single,False,1.4625475406646729,
CL:0002326 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,H3K27me3,encode,single,False,2.1947197914123535,
CL:0002326 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,H3K36me3,encode,single,False,1.0798907279968262,
CL:0002326 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,H3K4me1,encode,single,False,2.75551700592041,
CL:0002326 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,H3K9me3,encode,single,False,1.7127506732940674,
CL:0002327 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H2AFZ,encode,single,False,1.0680005550384521,
CL:0002327 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K27ac,encode,single,False,1.4711294174194336,
CL:0002327 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K27me3,encode,single,False,1.1175118684768677,
CL:0002327 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K36me3,encode,single,False,0.9088714718818665,
CL:0002327 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K4me1,encode,single,False,1.1306720972061157,
CL:0002327 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K4me2,encode,single,False,1.4887701272964478,
CL:0002327 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K4me3,encode,single,False,0.7996102571487427,
CL:0002327 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K79me2,encode,single,False,1.5507910251617432,
CL:0002327 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K9ac,encode,single,False,1.8133935928344727,
CL:0002327 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,H3K9me3,encode,single,False,1.11653470993042,
CL:0002328 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,H3K36me3,encode,single,False,1.2896040678024292,LUNG
CL:0002328 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,H3K4me3,encode,single,False,2.163724184036255,LUNG
CL:0002372 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H2AFZ,encode,single,False,1.1194050312042236,MUSCLE
CL:0002372 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K27ac,encode,single,False,1.9409259557724,MUSCLE
CL:0002372 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K27me3,encode,single,False,0.9280364513397217,MUSCLE
CL:0002372 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K36me3,encode,single,False,1.1428780555725098,MUSCLE
CL:0002372 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K4me1,encode,single,False,1.2412523031234741,MUSCLE
CL:0002372 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K4me2,encode,single,False,1.2531827688217163,MUSCLE
CL:0002372 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K4me3,encode,single,False,1.263627290725708,MUSCLE
CL:0002372 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K79me2,encode,single,False,1.1767727136611938,MUSCLE
CL:0002372 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,H3K9ac,encode,single,False,1.109142780303955,MUSCLE
CL:0002518 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,H3K27me3,encode,single,False,1.0444138050079346,
CL:0002518 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,H3K4me3,encode,single,False,2.2789642810821533,
CL:0002547 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,unknown,H3K4me3,encode,single,False,2.15855073928833,
CL:0002548 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002548,cardiac fibroblast,primary_cell,adult,H3K4me3,encode,single,False,4.85253381729126,HEART
CL:0002551 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K27ac,encode,single,False,1.0494565963745117,SKIN
CL:0002551 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K36me3,encode,single,False,1.0272518396377563,SKIN
CL:0002551 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K4me1,encode,single,False,1.0379791259765625,SKIN
CL:0002551 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K4me2,encode,single,False,1.0568110942840576,SKIN
CL:0002551 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,"adult,unknown",H3K4me3,encode,single,False,0.9473881721496582,SKIN
CL:0002551 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K79me2,encode,single,False,0.9836273789405823,SKIN
CL:0002551 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,H3K9ac,encode,single,False,1.1766735315322876,SKIN
CL:0002553 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",H2AFZ,encode,single,False,0.7723867297172546,
CL:0002553 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",H3K27ac,encode,single,False,1.5028578042984009,
CL:0002553 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",H3K27me3,encode,single,False,1.440978765487671,
CL:0002553 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",H3K36me3,encode,single,False,1.2858548164367676,
CL:0002553 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",H3K4me2,encode,single,False,2.077979326248169,
CL:0002553 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,adult,H3K4me3,encode,single,False,1.4736813306808472,
CL:0002553 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",H3K79me2,encode,single,False,1.2818126678466797,
CL:0002553 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",H3K9ac,encode,single,False,1.6244899034500122,
CL:0002555 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002555,fibroblast of mammary gland,primary_cell,unknown,H3K4me3,encode,single,False,1.3848494291305542,
CL:0002557 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002557,fibroblast of pulmonary artery,primary_cell,unknown,H3K4me3,encode,single,False,1.9677774906158447,ARTERY
CL:0002558 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,unknown,H3K4me3,encode,single,False,1.4901968240737915,
CL:0002586 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002586,retinal pigment epithelial cell,primary_cell,unknown,H3K4me3,encode,single,False,1.5056036710739136,
CL:0002603 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002603,astrocyte of the cerebellum,primary_cell,unknown,H3K4me3,encode,single,False,2.751863956451416,BRAIN
CL:0002606 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002606,astrocyte of the spinal cord,primary_cell,unknown,H3K4me3,encode,single,False,1.5362993478775024,BRAIN
CL:0002618 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H2AFZ,encode,single,False,0.8388957977294922,ARTERY
CL:0002618 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K27ac,encode,single,False,1.413582444190979,ARTERY
CL:0002618 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K27me3,encode,single,False,0.9519431591033936,ARTERY
CL:0002618 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K36me3,encode,single,False,1.1424281597137451,ARTERY
CL:0002618 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K4me1,encode,single,False,1.3022959232330322,ARTERY
CL:0002618 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K4me2,encode,single,False,1.3143960237503052,ARTERY
CL:0002618 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K4me3,encode,single,False,0.6240338087081909,ARTERY
CL:0002618 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K79me2,encode,single,False,1.296781063079834,ARTERY
CL:0002618 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,H3K9ac,encode,single,False,1.4204692840576172,ARTERY
CL:0011020 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H2AFZ,encode,single,False,0.8875049948692322,
CL:0011020 Histone ChIP-seq H3F3A,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3F3A,encode,single,False,0.8334057927131653,
CL:0011020 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K27ac,encode,single,False,0.8626130223274231,
CL:0011020 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K27me3,encode,single,False,0.8359968066215515,
CL:0011020 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K4me1,encode,single,False,0.819572389125824,
CL:0011020 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K4me2,encode,single,False,0.8100183606147766,
CL:0011020 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K4me3,encode,single,False,0.7950120568275452,
CL:0011020 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H3K79me2,encode,single,False,0.8412899374961853,
CL:0011020 Histone ChIP-seq H4K20me1,.,Histone ChIP-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,H4K20me1,encode,single,False,0.8494463562965393,
CL:1001606 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,H3K27ac,encode,paired,False,0.7617563605308533,SKIN
CL:1001606 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,H3K27me3,encode,paired,False,0.8125223517417908,SKIN
CL:1001606 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,H3K36me3,encode,paired,False,0.9963340163230896,SKIN
CL:1001606 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,H3K4me1,encode,paired,False,0.7609577775001526,SKIN
CL:1001606 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,H3K4me3,encode,paired,False,1.7137986421585083,SKIN
